experiment_id,LB_private,LB_public,CV_70k_tta9,CV_70k,CV_14k_f0,CV_14k_f1,CV_14k_f2,CV_14k_f3,CV_14k_f4,n_epochs_f0,n_epochs_f1,n_epochs_f2,n_epochs_f3,n_epochs_f4,ensemble_id,task,architecture,image_resolution,image_n_channels,image_inverted,n_frames,step,historical_depth,backbone,backbone_weights,batch_size,learning_rate,max_n_epochs,aug_number,tta_number,experiment_description
run-20210104-2157,7.8742,8.2292,8.3219,8.5343,8.7136,8.8427,8.0301,8.5258,8.5117,14,22,14,24,14,ens_51_only,regr,cnn-3ch-ind,384,3,yes,3,5,11,ViT-L16,imagenet21k+imagenet2012,96,5e-05,25,9,9,Researching VisionTransformer
run-20210104-2209,6.9864,7.5311,7.4117,7.5487,7.6272,8.0214,7.0727,7.5870000000000015,7.3741,18,10,20,13,16,ens_51_only,regr,cnn-3ch-ind,366,3,yes,3,10,21,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
run-20210104-2211,7.0963,7.5797,7.4286,7.5444,7.5459,8.0184,7.1726,7.4908,7.4562,19,20,17,20,19,ens_both,regr,cnn-3ch-ind,366,3,yes,3,15,31,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
run-20210105-1443,7.5227,7.9956,7.996,8.3721,8.4999,8.8191,7.2542,8.1648,8.9941,16,20,24,26,27,ens_51_only,regr,cnn-3ch-ind,366,3,yes,3,10,21,EfficientNet-B7,scratch,192,0.001,50,9,9,Researching different historical depth
run-20210106-0047,,,7.8513,7.9861,8.0927,8.3528,7.444,8.0613,7.9246,19,20,20,17,20,ens_both,regr,cnn-3ch-mean,366,3,yes,3,3,9,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
run-20210106-0050,,,7.8065,7.911,7.7963,8.7056,7.2354,7.9235,7.8023,16,9,20,20,14,ens_51_only,regr,cnn-3ch-mean,366,3,yes,3,10,30,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
run-20210106-0051,,,8.046,8.1312,7.8444,8.8918,8.0029,8.1612,7.6744,16,8,12,10,15,ens_51_only,regr,cnn-3ch-mean,366,3,yes,3,15,45,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
run-20210107-0149,,,7.449,7.6416,7.8201,8.0535,7.1372,7.6972,7.4388,8,12,16,20,20,ens_51_only,regr,cnn-3ch-ind,366,3,yes,3,8,17,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
run-20210107-0150,6.9341,7.4449,7.3869,7.5124,7.5746,7.9588,7.0166,7.5717,7.3863,6,15,11,18,20,ens_both,regr,cnn-3ch-ind,366,3,yes,3,9,19,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
run-20210107-0151,7.0285,7.5131,7.3896,7.5719,7.5093,8.0622,7.1496,7.7123,7.3683,12,8,13,16,20,ens_both,regr,cnn-3ch-ind,366,3,yes,3,11,23,EfficientNet-B7,imagenet,192,0.001,20,9,9,Researching different historical depth
