image_id,fold,for_validation
abs_000,C,False
abs_001,C,False
abs_002,C,False
abs_003,C,False
abs_004,C,False
abs_005,C,False
abs_006,C,False
abs_007,C,False
abs_008,C,False
abs_009,C,False
abs_010,C,False
abs_011,C,False
abs_012,C,False
abs_013,C,False
abs_014,C,False
abs_015,C,False
abs_016,C,False
abs_017,C,False
abs_018,A,True
abs_019,A,True
abs_020,A,True
abs_021,A,True
abs_022,A,True
abs_023,A,True
abs_024,A,True
abs_025,A,True
abs_026,A,True
abs_027,A,True
abs_028,A,True
abs_029,A,True
abs_030,A,True
abs_031,A,True
abs_032,A,True
abs_033,A,True
abs_034,A,True
abs_035,A,True
abs_036,A,True
abs_037,A,True
abs_038,A,True
abs_039,A,True
abs_040,A,True
abs_041,A,True
abs_042,A,True
abs_043,A,True
abs_044,A,True
abs_045,A,True
abs_046,A,True
abs_047,A,True
abs_048,A,True
abs_049,A,True
abs_050,A,True
abs_051,A,True
abs_052,A,True
abs_053,A,True
abs_054,A,True
abs_055,A,True
abs_056,A,True
acd_000,B,True
acd_001,B,True
acd_002,B,True
acd_003,B,True
acd_004,B,True
acd_005,B,True
acd_006,B,True
acd_007,B,True
acd_008,B,True
acd_009,B,True
acd_010,B,True
acd_011,B,True
acd_012,B,True
acd_013,B,True
acd_014,B,True
acd_015,B,True
acd_016,B,True
acd_017,B,True
acd_018,B,True
acd_019,B,True
acd_020,B,True
acd_021,B,True
acd_022,B,True
acd_023,B,True
acd_024,B,True
acd_025,B,True
acd_026,B,True
acd_027,B,True
acd_028,B,True
acd_029,B,True
acd_030,B,True
acd_031,B,True
acd_032,B,True
acd_033,B,True
acd_034,B,True
acd_035,B,True
acd_036,B,True
acd_037,B,True
acd_038,B,True
acd_039,B,True
acd_040,B,True
acd_041,B,True
acd_042,B,True
acd_043,B,True
acd_044,B,True
acd_045,B,True
acd_046,B,True
acd_047,B,True
acd_048,B,True
acd_049,B,True
acd_050,B,True
acd_051,B,True
acd_052,B,True
acd_053,B,True
acd_054,B,True
acd_055,B,True
acd_056,B,True
acd_057,B,True
acd_058,B,True
acd_059,B,True
acd_060,B,True
acd_061,B,True
acd_062,B,True
acd_063,B,True
acd_064,B,True
acd_065,B,True
acd_066,B,True
acd_067,B,True
acd_068,B,True
acd_069,B,True
acd_070,B,True
acd_071,B,True
acd_072,B,True
acd_073,B,True
acd_074,B,True
acd_075,B,True
acd_076,B,True
acd_077,B,True
acd_078,B,True
acd_079,B,True
acd_080,B,True
acd_081,B,True
acd_082,B,True
acd_083,B,True
acd_084,B,True
acd_085,B,True
acd_086,B,True
acd_087,B,True
acd_088,B,True
acd_089,B,True
acd_090,B,True
acd_091,B,True
acd_092,B,True
acd_093,B,True
acd_094,B,True
acd_095,B,True
acd_096,B,True
acd_097,B,True
acd_098,B,True
acd_099,B,True
acd_100,B,True
acd_101,B,True
acd_102,B,True
acd_103,B,True
acd_104,B,True
acd_105,B,True
acd_106,B,True
acd_107,B,True
acd_108,B,True
acd_109,B,True
acd_110,B,True
acd_111,B,True
acd_112,B,True
acd_113,B,True
acd_114,B,True
acd_115,B,True
acd_116,B,True
acd_117,B,True
acd_118,B,True
acd_119,B,True
acd_120,B,True
acd_121,B,True
acd_122,B,True
acd_123,B,
acd_124,B,
acd_125,B,
acd_126,B,
acd_127,B,
acd_128,B,
acd_129,B,
acd_130,B,
acd_131,B,
acd_132,B,
acd_133,B,
acd_134,B,
acd_135,B,
acd_136,B,
acd_137,B,
acd_138,B,
acd_139,B,
acd_140,B,
acd_141,B,
acd_142,B,
acd_143,B,
acd_144,B,
acd_145,B,
acd_146,B,
acd_147,B,
acd_148,B,
acd_149,B,
acd_150,B,
acd_151,B,
acd_152,B,
acd_153,B,
acd_154,B,
acd_155,B,
acd_156,B,
acd_157,B,
acd_158,B,
acd_159,B,
acd_160,B,
acd_161,B,
acd_162,B,
acd_163,B,
acd_164,B,
acd_165,B,
acd_166,B,
acd_167,B,
acd_168,B,
acd_169,B,
acd_170,B,
acd_171,B,
acd_172,B,
acd_173,B,
acd_174,B,
acd_175,B,
acd_176,B,
acd_177,B,
acd_178,B,
acd_179,B,
acd_180,B,
acd_181,B,
acd_182,B,
acd_183,B,
acd_184,B,
acd_185,B,
acd_186,B,
acd_187,B,
acd_188,B,
acd_189,B,
acd_190,B,
acd_191,B,
acd_192,B,
acd_193,B,
acd_194,B,
acd_195,B,
acd_196,B,
acd_197,B,
acd_198,B,
acd_199,B,
acd_200,B,
acd_201,B,
acd_202,B,
acd_203,B,
acd_204,B,
acd_205,B,
acd_206,B,
acd_207,B,
acd_208,B,
acd_209,B,
acd_210,B,
acd_211,B,
acd_212,B,
acd_213,B,
acd_214,B,
acd_215,B,
acd_216,B,
acd_217,B,
acd_218,B,
acd_219,B,
acd_220,B,
acd_221,B,
acd_222,B,
acd_223,B,
aek_000,B,True
aek_001,B,True
aek_002,B,True
aek_003,B,True
aek_004,B,True
aek_005,B,True
aek_006,B,True
aek_007,B,True
aek_008,B,True
aek_009,B,True
aek_010,B,True
aek_011,B,True
aek_012,B,True
aek_013,B,True
aek_014,B,True
aek_015,B,True
aek_016,B,True
aek_017,B,True
aek_018,B,True
aek_019,B,True
aek_020,B,True
aek_021,B,True
aek_022,B,True
aek_023,B,True
aek_024,B,True
aek_025,B,True
aek_026,B,True
aek_027,B,True
aek_028,B,True
aek_029,B,True
aek_030,B,True
aek_031,B,True
aek_032,B,
aek_033,B,
aek_034,B,
aek_035,B,
aek_036,B,
aek_037,B,
aek_038,B,
aek_039,B,
aek_040,B,
aek_041,B,
aek_042,B,
aek_043,B,
aek_044,B,
aek_045,B,
aek_046,B,
aek_047,B,
aek_048,B,
aek_049,B,
aek_050,B,
aek_051,B,
aek_052,B,
aek_053,B,
aek_054,B,
aek_055,B,
aek_056,B,
aek_057,B,
aek_058,B,
aek_059,B,
aek_060,B,
aek_061,B,
aek_062,B,
aek_063,B,
aek_064,B,
aek_065,B,
aek_066,B,
aek_067,B,
aek_068,B,
aek_069,B,
aek_070,B,
aek_071,B,
aek_072,B,
aek_073,B,
aek_074,B,
aek_075,B,
aek_076,B,
aek_077,B,
aek_078,B,
aek_079,B,
aek_080,B,
aek_081,B,
aek_082,B,
aek_083,B,
aek_084,B,
aek_085,B,
aek_086,B,
aek_087,B,
aek_088,B,
aek_089,B,
aek_090,B,
aek_091,B,
aek_092,B,
aek_093,B,
aek_094,B,
aek_095,B,
aek_096,B,
aek_097,B,
aek_098,B,
aek_099,B,
aek_100,B,
aek_101,B,
aek_102,B,
aek_103,B,
aek_104,B,
aek_105,B,
aek_106,B,
aek_107,B,
afs_000,B,False
afs_001,B,False
afs_002,B,False
afs_003,B,False
afs_004,B,False
afs_005,B,False
afs_006,B,False
afs_007,B,False
afs_008,B,False
afs_009,B,False
afs_010,B,False
